Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Оніщук,Надія,,Жінка,1995-07-09,Бібліограф,місто Фастів,"вулиця Нежданової, буд. 3, Жидачів, 73270",+380 (55) 529-38-98,panas30@example.net
Мамчур,Єлисавета,,Жінка,1994-11-14,Реставратор,селище Здолбунів,"вулиця Теліги Олени, буд. 77, Амвросіївка, 46084",559-16-39,ievaiurchyshyn@example.org
Москаль,Віолетта,,Жінка,1962-02-15,Астрофізик,місто Городок,"площа Трудова, буд. 287 кв. 227, Нова Каховка, 59327",099 075-10-74,pchumak@example.org
Вівчаренко,Василина,,Жінка,1966-11-02,Письменник,селище Миколаївка ,"вулиця Польовий 1-й, буд. 4 кв. 043, Олешки, 42253",952 73 17,pavlenkotymofii@example.org
Лубенець,Володимира,,Жінка,2005-04-08,Бібліограф,місто Чугуїв,"сквер Фонтанська дорога, буд. 2 кв. 770, Белз, 70961",017 695 79 78,gtsarenko@example.com
Яковенко,Ірина,,Жінка,1981-06-17,Сантехнік,хутір Київ,"парк Костанді, буд. 566 кв. 636, Щастя , 73116",+380 80 811 04 29,skolodub@example.org
Єрмоленко,Христина,,Жінка,2005-05-21,Провізор,місто Гірник ,"узвіз Лип Івана та Юрія, буд. 88, Сєвєродонецьк, 29881",951-08-42,rizhakevych@example.net
Бабенко,Алла,,Жінка,1971-10-11,Фрілансер,місто Тетіїв,"площа Красива, буд. 5 кв. 24, Теребовля, 15357",008 372-50-58,oleksa28@example.org
Конопля,Оксана,,Жінка,1956-06-15,Лікар,місто Трускавець,"площа Маринеско узвіз, буд. 90 кв. 38, Запоріжжя, 38718",542 89 07,svitlanaskopenko@example.com
Заїка,Розалія,,Жінка,1961-06-27,Мовознавець,селище Пологи ,"провулок 15-та ст. Великого Фонтану пляж, буд. 167 кв. 34, Винники, 19148",090 492-25-09,kamilla83@example.com
Артимишин,Ярина,,Жінка,2004-09-01,Живописець,селище Іловайськ,"провулок Золотий берег, буд. 67, Мелітополь, 65196",240 32 04,stefan21@example.com
Ємельяненко,Володимира,,Жінка,1990-06-08,Реставратор,село Чистякове,"площа Пілотна, буд. 591, Берислав, 02601",703 42 28,kostiantynbabenko@example.net
Бевз,Ярина,,Жінка,1991-08-13,Доцент,місто Біляївка,"шосе Студентський 3-й, буд. 9 кв. 145, Винники, 05913",077 836 73 47,prokhirtsisyk@example.com
Жарко,Орися,,Жінка,1984-12-14,Кінорежисер,хутір Бобровиця,"сквер Ланжеронівська, буд. 403, Бориспіль, 52201",003 396 58 63,daryna07@example.net
Артюшенко,Ірина,,Жінка,1981-04-09,Мистецтвознавець,село Жидачів,"узвіз Авіаторів, буд. 12, Надвірна, 64513",049 923 46 43,nestor55@example.com
Бабак,Софія,,Жінка,1986-04-26,Архітектор,селище Вільногірськ,"шосе Аркадійська, буд. 67 кв. 073, Чугуїв, 62064",+380 (97) 563-61-05,arsenychsolomon@example.net
Баклан,Пріска,,Жінка,1994-06-02,Підприємець,селище Коростишів,"провулок Чорноморський 10-й, буд. 71 кв. 88, Балта, 40154",959 22 13,danylenkobohdan@example.com
Забіла,Данна,,Жінка,1993-06-29,Хімік,хутір Сарни,"площа Баштанна, буд. 2 кв. 458, Приморськ (Україна), 56881",932 51 48,levko83@example.com
Макаренко,Марʼяна,,Жінка,1997-01-07,Кушнір,село Баранівка,"парк Тургенєва, буд. 395 кв. 562, Вознесенськ, 11670",+380 79 147-36-38,jfranko@example.org
Вітер,Єва,,Жінка,2008-07-06,Дерун,село Комарно,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 779, Ямпіль, 45155",+380 (87) 113-86-06,olhahres@example.com
Ємельяненко,Людмила,,Жінка,1965-05-01,Золотар,місто Старокостянтинів,"набережна Академіка Вавилова, буд. 1 кв. 86, Старий Самбір, 87904",+380 52 328-79-39,esliusar@example.com
Ісаєнко,Златослава,,Жінка,1978-11-14,Випробувач,місто Авдіївка,"набережна Віри Інбер, буд. 92 кв. 003, Чернігів, 87888",046 819-45-04,shchyrytsiaarkadii@example.net
Засенко,Ірина,,Жінка,1953-07-07,Мистецтвознавець,село Судова Вишня,"шосе Рівності 1-й, буд. 417, Ладижин, 22805",+380 06 421 70 97,dmytromakohon@example.net
Токар,Пріска,,Жінка,2003-05-21,Кінолог,селище Покров,"шосе Учнівська, буд. 449, Білгород-Дністровський, 58613",+380 (86) 293-61-03,qvakulenko@example.org
Байдак,Святослава,,Жінка,1979-08-07,Ґрунтознавець,село Городок,"шосе Восьмого березня узвіз, буд. 07 кв. 2, Інкерман, 74981",086 953 01 46,shvedchenkovasyl@example.org
Гриценко,Орися,,Жінка,1948-05-19,Льотчик,селище Ізмаїл,"площа Старицького, буд. 2, Чоп, 35967",067 908 22 71,zhuchenkosolomiia@example.net
Редько,Любов,,Жінка,1994-09-07,Перекладач,місто Іршава,"парк Пересипська 7-ма, буд. 254 кв. 168, Новоград-Волинський, 52696",+380 68 722 27 22,okhrimmishchenko@example.net
Іващенко,Роксолана,,Жінка,1988-01-19,Редактор,село Алмазна,"вулиця Князівський, буд. 851, Чуднів, 38415",+380 35 933-22-06,bohdan29@example.com
Венгринович,Лариса,,Жінка,1969-02-25,Детектив,місто Славутич,"провулок Мусіна, буд. 0, Тетіїв, 21122",+380 (49) 428-05-70,ierchenkoleontii@example.com
Романець,Лариса,,Жінка,1968-09-26,Педагог,селище Хрустальний,"набережна Салтикова-Щедріна, буд. 183, Білогірськ, 75344",+380 16 796-07-63,frankomykyta@example.org
Цимбал,Галина,,Жінка,1989-10-24,Слідчий,місто Покровськ,"набережна Троїцького Миколи, буд. 62, Остер , 81807",+380 (55) 474-26-46,xmalyshko@example.com
Франко,Надія,,Жінка,1991-10-28,Пілот,хутір Благовіщенське,"проспект Катерининська, буд. 5 кв. 346, Дніпро , 67150",086 532-21-40,onysymhuk@example.com
Онуфрієнко,Ганна,,Жінка,1995-05-24,Режисер,селище Городище ,"провулок Косвена, буд. 191, Вишгород, 50624",593-81-29,amaliiaskoryk@example.com
Фесенко,Єлисавета,,Жінка,2005-04-04,Ді-джей,селище Гадяч,"сквер Весняна, буд. 813, Вугледар, 17068",104 41 55,mykolai67@example.com
Дзиндра,Оксана,,Жінка,1969-01-19,Гицель,селище Боярка,"узвіз 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 4, Бахмут, 76791",+380 21 426-64-15,pbazylevych@example.net
Карпа,Богуслава,,Жінка,1999-06-09,Модель,село Черкаси,"парк Смоленська, буд. 810 кв. 1, Берислав, 81889",+380 68 524-28-06,dashkevychnataliia@example.org
Сич,Ада,,Жінка,1963-06-26,Патологоанатом,село Родинське,"набережна Воронцовський, буд. 31 кв. 9, Берегове, 61992",+380 01 024-76-65,riakymchuk@example.org
Юхименко,Володимира,,Жінка,1974-05-28,Реставратор,хутір Нова Одеса,"шосе Польова, буд. 3 кв. 33, Ананьїв, 58669",+380 89 695-51-85,csamoilenko@example.com
Стець,Оксенія,,Жінка,2000-02-03,Електромонтер,селище Соледар,"провулок Шишкіна, буд. 64 кв. 539, Люботин, 07342",008 976 90 61,andriiolifirenko@example.net
Теліженко,Анжела,,Жінка,1963-02-17,Реставратор,селище Очаків,"площа Гаршина, буд. 714 кв. 8, Вознесенівка, 35108",+380 (42) 844-92-57,verkhovynetsihor@example.org
Непорожній,Оксана,,Жінка,1966-07-30,Літературознавець,селище Бершадь,"шосе Чорноморський 7-й, буд. 206, Рені, 79722",074 708-53-64,ffranchuk@example.net
Василенко,Анжела,,Жінка,1972-06-24,Мінералог,село Алушта,"проспект Скляний 3-й, буд. 990, Кремінна, 90162",+380 36 900-89-84,babiichukhordii@example.com
Колодуб,Роксолана,,Жінка,1981-03-15,Менеджер,хутір Щастя ,"проспект Давида Ойстраха, буд. 15, Болград, 42188",107 56 27,ubashtan@example.com
Карпенко,Аліна,,Жінка,1971-11-03,Лікар,місто Карлівка,"парк Шептицікого, буд. 719 кв. 08, Перемишляни, 35272",057 900 97 06,martabarannyk@example.org
Гайворонський,Наталія,,Жінка,1973-05-23,Стоматолог,селище Подільськ,"проспект Чорноморський 3-й, буд. 99 кв. 80, Ніжин, 57621",+380 (46) 431-09-62,syrotenkodaryna@example.org
Полтавець,Сніжана,,Жінка,2002-09-09,Реставратор,село Монастириська,"вулиця Берегова, буд. 10, Гірник , 51950",091 745 88 29,venedyktieromenko@example.net
Теліженко,Варвара,,Жінка,2008-03-13,Співак,місто Дунаївці,"шосе Шилова, буд. 05 кв. 91, Тернівка , 96657",+380 99 636-16-50,haidaihor@example.org
Ґерета,Надія,,Жінка,2005-03-24,Клавішник,село Вовчанськ,"парк Виноградний, буд. 829, Монастирище, 53020",866 20 76,iustymishchak@example.org
Гавришкевич,Любов,,Жінка,1974-03-30,Диригент,село Берестечко,"сквер Радісна, буд. 2 кв. 0, Алмазна, 20003",015-11-93,romanchukvladyslav@example.com
Деркач,Віра,,Жінка,1969-11-08,Кухар,хутір Святогірськ,"набережна Вершинна, буд. 3, Кіцмань, 41013",453-27-97,andrii06@example.org
Дзиндра,Одарка,,Жінка,1981-05-13,Композитор,село Бровари,"набережна Стовпова, буд. 9 кв. 822, Яворів, 37109",+380 (59) 279-34-77,dmytro91@example.com
Шухевич,Алла,,Жінка,1981-07-02,Локсмайстер,місто Ходорів,"вулиця Китобійний 2-й, буд. 33 кв. 91, Козятин, 58244",005 252 08 90,mandriienko@example.org
Деряжний,Василина,,Жінка,1989-05-11,Каскадер,хутір Ізяслав,"провулок Висока, буд. 14 кв. 973, Дубно, 69151",737-81-95,onysym04@example.com
Ващук,Анастасія,,Жінка,1954-01-17,Астроном,хутір Бахмут,"проспект Новощіпний ряд, буд. 840, Вовчанськ, 36349",783 48 77,hanna24@example.com
Тихий,Камілла,,Жінка,1958-05-01,Програміст,хутір Вашківці,"шосе Лінія 52-га, буд. 07 кв. 076, Старий Крим, 38127",732 39 15,pzasenko@example.com
Сімашкевич,Вікторія,,Жінка,1983-08-16,Ветеринар,хутір Армянськ,"вулиця Теліги Олени, буд. 85, Очаків, 83772",026 269-33-65,hryhoriifilipenko@example.org
Ящук,Лариса,,Жінка,2007-04-27,Намотувальник,село Мерефа,"проспект Деревообробна, буд. 35 кв. 50, Ужгород, 90664",+380 (36) 123-04-15,arsenieroshenko@example.com
Макогон,Олена,,Жінка,1996-07-22,Біолог,селище Ужгород,"провулок Олександра Невського 5-й, буд. 109 кв. 408, Тернівка , 53768",+380 97 107-66-71,iefremhuzii@example.com
Хмара,Ольга,,Жінка,1996-04-23,Випробувач,місто Сніжне,"узвіз Ванцетті, буд. 251 кв. 2, Хотин, 71435",093 195 14 56,pchalyi@example.net
Симоненко,Лілія,,Жінка,2006-03-10,Головний меркшейдер,місто Батурин,"проспект Костанді 3-й, буд. 94, Середина-Буда, 34100",+380 65 158-68-85,leopoldfranko@example.org
Дрозд,Амалія,,Жінка,1969-05-22,Геолог,хутір Новоазовськ,"проспект Генуезька, буд. 97 кв. 8, Буринь, 22505",+380 15 868-46-69,kdatsiuk@example.org
Щербак,Єлисавета,,Жінка,1959-06-07,Клоун,село Южноукраїнськ,"узвіз Студентський, буд. 60, Зимогір'я, 15600",+380 70 448-33-68,semenchenkoleopold@example.com
Медведенко,Єва,,Жінка,1988-05-02,Геолог,хутір Краматорськ,"шосе Новоукраїнський, буд. 178, Бар, 28878",511-33-46,snikoliuk@example.org
